method,method_label,n_seeds,actionable_utility_mean,lambda_cost,eta_cost,gamma_cost,nuisance_mode
qk_mmd_zz,QK-MMD ZZ,30,10.00568382773428,0.1,1.0,0.01,total
energy_distance,Energy distance,30,10.313234694991454,0.1,1.0,0.05,total
jsd,JSD,30,9.510492543164872,0.1,1.0,0.05,total
ks_max,KS-max,30,9.927264510498693,0.1,1.0,0.05,total
mmd_rbf,MMD-RBF,30,10.09112607316502,0.1,1.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.909314570997763,0.1,1.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,9.337794138671402,0.1,1.0,0.05,total
energy_distance,Energy distance,30,10.307302723316242,0.1,1.0,0.1,total
jsd,JSD,30,9.508328836329747,0.1,1.0,0.1,total
ks_max,KS-max,30,9.906143604330717,0.1,1.0,0.1,total
mmd_rbf,MMD-RBF,30,9.895116729663375,0.1,1.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.017795808662195,0.1,1.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,8.502932027342807,0.1,1.0,0.1,total
energy_distance,Energy distance,30,9.285833333333333,0.1,2.0,0.0,total
jsd,JSD,30,7.879322916666666,0.1,2.0,0.0,total
ks_max,KS-max,30,9.115052083333332,0.1,2.0,0.0,total
mmd_rbf,MMD-RBF,30,9.587135416666666,0.1,2.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.667499999999999,0.1,2.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,8.77265625,0.1,2.0,0.0,total
energy_distance,Energy distance,30,9.284646938998291,0.1,2.0,0.01,total
jsd,JSD,30,7.878890175299641,0.1,2.0,0.01,total
ks_max,KS-max,30,9.11082790209974,0.1,2.0,0.01,total
mmd_rbf,MMD-RBF,30,9.547933547966336,0.1,2.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,8.489196247532885,0.1,2.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,8.60568382773428,0.1,2.0,0.01,total
energy_distance,Energy distance,30,9.279901361658121,0.1,2.0,0.05,total
jsd,JSD,30,7.87715920983154,0.1,2.0,0.05,total
ks_max,KS-max,30,9.09393117716536,0.1,2.0,0.05,total
mmd_rbf,MMD-RBF,30,9.39112607316502,0.1,2.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,7.77598123766443,0.1,2.0,0.05,total
qk_mmd_zz,QK-MMD ZZ,30,7.9377941386714035,0.1,2.0,0.05,total
energy_distance,Energy distance,30,9.27396938998291,0.1,2.0,0.1,total
jsd,JSD,30,7.874995502996414,0.1,2.0,0.1,total
ks_max,KS-max,30,9.072810270997385,0.1,2.0,0.1,total
mmd_rbf,MMD-RBF,30,9.195116729663374,0.1,2.0,0.1,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,6.884462475328861,0.1,2.0,0.1,total
qk_mmd_zz,QK-MMD ZZ,30,7.102932027342806,0.1,2.0,0.1,total
energy_distance,Energy distance,30,10.5625,0.25,0.0,0.0,total
jsd,JSD,30,10.605989583333333,0.25,0.0,0.0,total
ks_max,KS-max,30,10.26171875,0.25,0.0,0.0,total
mmd_rbf,MMD-RBF,30,10.372135416666667,0.25,0.0,0.0,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.454166666666667,0.25,0.0,0.0,total
qk_mmd_zz,QK-MMD ZZ,30,11.09765625,0.25,0.0,0.0,total
energy_distance,Energy distance,30,10.561313605664958,0.25,0.0,0.01,total
jsd,JSD,30,10.605556841966308,0.25,0.0,0.01,total
ks_max,KS-max,30,10.257494568766406,0.25,0.0,0.01,total
mmd_rbf,MMD-RBF,30,10.332933547966338,0.25,0.0,0.01,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,10.275862914199553,0.25,0.0,0.01,total
qk_mmd_zz,QK-MMD ZZ,30,10.93068382773428,0.25,0.0,0.01,total
energy_distance,Energy distance,30,10.556568028324788,0.25,0.0,0.05,total
jsd,JSD,30,10.603825876498206,0.25,0.0,0.05,total
ks_max,KS-max,30,10.240597843832026,0.25,0.0,0.05,total
mmd_rbf,MMD-RBF,30,10.17612607316502,0.25,0.0,0.05,total
qk_mmd_pauli_xz,QK-MMD PauliXZ,30,9.562647904331097,0.25,0.0,0.05,total
