scenario,policy,transformer_policy,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_candidate,n_resolved_proposals,n_commits_logged,mean_delta_res1,harmful_commits_h1,censored_h1,mean_delta_res3,harmful_commits_h3,censored_h3,mean_delta_res5,harmful_commits_h5,censored_h5,mean_delta_res10,harmful_commits_h10,censored_h10
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3003,0.93953125,0.9412026566032583,0.97109375,0.09203125,4,4,3,1,128,128,4096,4.0,3.0,0.028645833333333332,1.0,0.0,0.03125,1.0,0.0,0.028645833333333297,0.0,0.0,0.0294270833333333,0.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3004,0.935078125,0.9353510638378139,0.9503125,0.08015625,4,4,3,1,128,128,4096,4.0,3.0,0.044270833333333336,0.0,0.0,0.050347222222222134,0.0,0.0,0.04062499999999993,0.0,0.0,0.04218749999999997,1.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3005,0.940234375,0.9429950995036062,0.98296875,0.1025,4,4,4,0,128,128,4096,4.0,4.0,0.017578125,1.0,0.0,0.011067708333333325,1.0,0.0,0.0125,1.0,0.0,0.012239583333333333,1.0,1.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3006,0.953515625,0.9549836910948719,0.9815625,0.07453125,5,5,1,4,160,160,5120,5.0,1.0,-0.046875,1.0,0.0,-0.0234375,1.0,0.0,-0.0124999999999999,1.0,0.0,0.00546875,0.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3007,0.94546875,0.9471194258883938,0.97609375,0.08515625,4,4,4,0,128,128,4096,4.0,4.0,0.01953125,1.0,0.0,0.014973958333333325,2.0,0.0,0.018749999999999975,1.0,0.0,0.021679687499999947,1.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3008,0.946640625,0.948717296418782,0.9821875,0.08890625,3,3,2,1,96,96,3072,3.0,2.0,0.0078125,1.0,0.0,5.0306980803327406e-17,1.0,0.0,0.0007812499999999998,1.0,0.0,0.007421875000000051,1.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3009,0.94421875,0.9456124531389892,0.97015625,0.08171875,4,4,3,1,128,128,4096,4.0,3.0,0.0078125,1.0,0.0,0.0251736111111111,0.0,0.0,0.024479166666666597,0.0,0.0,0.029427083333333298,0.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3010,0.954375,0.9558408852510629,0.98359375,0.07484375,4,4,4,0,128,128,4096,4.0,4.0,-0.009765625,2.0,0.0,-0.00846354166666665,2.0,0.0,-0.008593750000000025,2.0,0.0,-0.0072265625,2.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3011,0.94109375,0.9443303113549475,0.99359375,0.11140625,2,2,2,0,64,64,2048,2.0,2.0,-0.0234375,1.0,0.0,-0.015624999999999948,1.0,0.0,-0.01406249999999995,1.0,0.0,-0.00664062500000005,1.0,0.0
ps_full,point,frozen_initial_transformer,sp_ps_full_point_froz,3012,0.945078125,0.9468931753535361,0.9759375,0.08578125,4,4,4,0,128,128,4096,4.0,4.0,0.005859375,2.0,0.0,0.018229166666666675,1.0,0.0,0.0229166666666667,1.0,1.0,0.026302083333333337,1.0,1.0
