scenario,policy,candidate_size,ba_mean,ba_sd,recall_mean,fpr_mean,f1_mean,triggers_mean,commits_mean,rejects_mean,labels_probe_mean,labels_monitor_mean,labels_candidate_mean
unsw_full,atc,2000,0.8482265625000001,0.008449742425473273,0.9775989583333333,0.2811458333333333,0.866615706262197,3.2666666666666666,1.6666666666666667,1.6,0.0,0.0,13066.666666666666
unsw_full,atc,512,0.8344374999999999,0.007215042804614122,0.9808333333333333,0.31195833333333334,0.8566590177175112,3.8,1.5,2.3,0.0,0.0,3891.2
unsw_full,ddm,2000,0.8219583333333333,0.015804570690040282,0.98234375,0.3384270833333333,0.8479828063611581,0.7333333333333333,0.7333333333333333,0.0,0.0,800.0,2933.3333333333335
unsw_full,doc,2000,0.8430104166666667,0.01009478110503387,0.9794010416666666,0.29338020833333334,0.8632136583859044,4.433333333333334,1.3333333333333333,3.1,0.0,0.0,17733.333333333332
unsw_full,doc,512,0.8271640625,0.010817949429967891,0.9819895833333334,0.3276614583333333,0.851722598471352,5.5,0.9333333333333333,4.566666666666666,0.0,0.0,5632.0
unsw_full,enscal,2000,0.8446692708333333,0.007787802647235491,0.973421875,0.28408333333333335,0.8631597039638125,2.033333333333333,2.033333333333333,0.0,0.0,0.0,8133.333333333333
unsw_full,enscal,512,0.8373645833333333,0.00669021271788039,0.9752864583333333,0.30055729166666667,0.8578728612088278,2.033333333333333,2.033333333333333,0.0,0.0,0.0,2082.133333333333
unsw_full,naive,2000,0.8513203125000001,0.007573147861209873,0.976125,0.273484375,0.8686482226356076,2.033333333333333,2.033333333333333,0.0,0.0,0.0,8133.333333333333
unsw_full,naive,512,0.8357213541666667,0.007398476709848258,0.9796927083333333,0.30825,0.8574092473452392,2.033333333333333,2.033333333333333,0.0,0.0,0.0,2082.133333333333
unsw_full,never,n/a,0.8122317708333333,0.008934837742631862,,,0.8413038355941024,0.0,0.0,0.0,0.0,0.0,0.0
unsw_full,point,2000,0.8502421874999999,0.007322435307291686,0.9763489583333332,0.2758645833333333,0.8678686835577469,2.3333333333333335,2.0,0.3333333333333333,74.66666666666667,0.0,9333.333333333334
unsw_full,point,512,0.8350442708333333,0.007709495625084263,0.9800520833333334,0.3099635416666667,0.8569518866693183,2.5,1.9,0.6,80.0,0.0,2560.0
unsw_full,replay,2000,0.8262526041666667,0.006736752999588195,0.9820364583333333,0.32953125,0.8506290185683324,2.033333333333333,2.033333333333333,0.0,0.0,0.0,8133.333333333333
unsw_full,strict,2000,0.8483828125,0.009463397676054934,0.9772968750000001,0.28053125,0.8665504896451689,3.033333333333333,1.6666666666666667,1.3666666666666667,97.06666666666666,0.0,12133.333333333334
unsw_full,strict,512,0.834265625,0.007177320142941031,0.9808958333333333,0.31236458333333333,0.8564077033520111,3.2666666666666666,1.5,1.7666666666666666,104.53333333333333,0.0,3345.0666666666666
unsw_zero,adwin,2000,0.8800494791666666,0.00538030712854793,0.97790625,0.21780729166666665,0.8911836878884557,0.0,0.0,0.0,0.0,800.0,0.0
unsw_zero,atc,2000,0.8795651041666666,0.004629066615844501,0.9771614583333333,0.21803125,0.890718162832939,3.5,1.6,1.9,0.0,0.0,14000.0
unsw_zero,atc,512,0.8744947916666667,0.008115818060045724,0.9809166666666667,0.23192708333333334,0.8870943851334839,3.5,1.3333333333333333,2.1666666666666665,0.0,0.0,3584.0
unsw_zero,ddm,2000,0.8797369791666667,0.005351124302996929,0.9778229166666667,0.21834895833333334,0.890922923032415,0.4666666666666667,0.4666666666666667,0.0,0.0,800.0,1866.6666666666667
unsw_zero,doc,2000,0.8800286458333333,0.0045609480918836634,0.9768489583333333,0.21679166666666666,0.8910513669879767,3.5,1.2333333333333334,2.2666666666666666,0.0,0.0,14000.0
unsw_zero,doc,512,0.8766432291666667,0.006838518857857374,0.980796875,0.22751041666666666,0.8887951597551117,3.5,0.6666666666666666,2.8333333333333335,0.0,0.0,3584.0
unsw_zero,enscal,2000,0.8849973958333333,0.003489364525542661,0.9664739583333334,0.19647916666666668,0.8940329292129182,3.5,3.5,0.0,0.0,0.0,14000.0
unsw_zero,enscal,512,0.8792317708333334,0.004151061553064622,0.9708541666666667,0.212390625,0.8897724276916777,3.5,3.5,0.0,0.0,0.0,3584.0
unsw_zero,naive,2000,0.8794192708333333,0.004396675223334824,0.9780572916666667,0.21921875,0.8906889692133453,3.5,3.5,0.0,0.0,0.0,14000.0
unsw_zero,naive,512,0.8639140624999999,0.01207693182451204,0.983078125,0.25525,0.8791428775017548,3.5,3.5,0.0,0.0,0.0,3584.0
unsw_zero,never,n/a,0.8800494791666666,0.00538030712854793,,,0.8911836878884557,0.0,0.0,0.0,0.0,0.0,0.0
unsw_zero,point,2000,0.8793151041666667,0.005026728604193704,0.9785677083333333,0.21993749999999998,0.8906616648834744,3.5,2.9,0.6,112.0,0.0,14000.0
unsw_zero,point,512,0.8654088541666667,0.012214197716768528,0.982265625,0.25144791666666666,0.8802247867536228,3.5,2.533333333333333,0.9666666666666667,112.0,0.0,3584.0
unsw_zero,replay,2000,0.8807317708333334,0.00377993414366939,0.976203125,0.21473958333333334,0.891562976105358,3.5,3.5,0.0,0.0,0.0,14000.0
unsw_zero,strict,2000,0.8799348958333333,0.005073463681814777,0.9783489583333334,0.21847916666666667,0.8911385321246036,3.5,0.7666666666666667,2.7333333333333334,112.0,0.0,14000.0
unsw_zero,strict,512,0.8743958333333333,0.010405450139257555,0.9804479166666666,0.23165625,0.887029261635144,3.5,0.7333333333333333,2.7666666666666666,112.0,0.0,3584.0
