source,tier,path,method,method_label,n_seeds,mean_balanced_accuracy,gain_vs_noadapt,error_area,n_adaptations,detector_runtime
paper2_progressive_thursday_webattacks_smoke_001,smoke,results\raw\paper2_progressive_thursday_webattacks_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.830078125,0.84375,3.3984375,2.0,0.0134497334559758
paper2_progressive_thursday_webattacks_smoke_001,smoke,results\raw\paper2_progressive_thursday_webattacks_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.8817708333333334,1.8776041666666667,2.364583333333333,1.6666666666666667,0.8915781664351622
paper2_progressive_thursday_webattacks_smoke_001,smoke,results\raw\paper2_progressive_thursday_webattacks_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7878906250000001,0.0,4.2421875,0.0,0.0
paper2_progressive_thursday_webattacks_smoke_001,smoke,results\raw\paper2_progressive_thursday_webattacks_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8445312500000001,1.1328125,3.109375,2.0,1.448228367061044
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.7912760416666668,-2.7994791666666665,4.174479166666667,1.0,0.013474999849374
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,3,0.8170572916666666,-2.2838541666666665,3.6588541666666665,1.6666666666666667,0.0051421335277458
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,3,0.7809895833333332,-3.005208333333333,4.380208333333333,1.3333333333333333,0.0527057331831504
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.90859375,-0.453125,1.828125,1.3333333333333333,0.922926599935939
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.93125,0.0,1.375,0.0,0.0
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8035156250000001,-2.5546875,3.9296875,1.6666666666666667,1.4990694670317073
paper2_ton_iot_ddos_smoke_001,smoke,results\raw\paper2_ton_iot_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.6908854166666667,-4.807291666666667,6.182291666666667,2.0,1.4557076329365373
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.925,-0.0833333333333333,1.5,2.0,0.0128515664643297
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,3,0.9268229166666666,-0.046875,1.4635416666666667,1.6666666666666667,0.0051989670222004
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,3,0.9325520833333334,0.0677083333333333,1.3489583333333333,2.0,0.0605180667092402
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.9184895833333332,-0.2135416666666666,1.6302083333333333,1.6666666666666667,0.8955973330109069
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.9291666666666668,0.0,1.4166666666666667,0.0,0.0
paper2_ton_iot_injection_smoke_001,smoke,results\raw\paper2_ton_iot_injection_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.9274739583333332,-0.0338541666666666,1.4505208333333333,2.0,1.535053533113872
