method,window_idx,severity_t,balanced_accuracy_mean,gain_vs_no_adapt_mean,alarm_rate,trigger_rate,method_label
qk_mmd_pauli_xz,30,0.3875,0.85,0.05078125,0.4,0.13333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,31,0.4,0.8666666666666667,0.06067708333333333,0.26666666666666666,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,32,0.4125,0.8643229166666667,0.06276041666666667,0.16666666666666666,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,33,0.425,0.8669270833333333,0.07057291666666667,0.13333333333333333,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,34,0.4375,0.8674479166666667,0.07578125,0.2,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,35,0.45,0.8703125,0.08072916666666667,0.26666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,36,0.4625,0.8669270833333333,0.08307291666666666,0.23333333333333334,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,37,0.475,0.87578125,0.09192708333333334,0.16666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,38,0.4875,0.8669270833333333,0.09713541666666667,0.3,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,39,0.5,0.8671875,0.10494791666666667,0.3,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,40,0.5125,0.8744791666666667,0.12239583333333333,0.23333333333333334,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,41,0.525,0.8635416666666667,0.10625,0.16666666666666666,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,42,0.5375,0.8651041666666667,0.11614583333333334,0.3333333333333333,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,43,0.55,0.86953125,0.121875,0.4,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,44,0.5625,0.8669270833333333,0.12317708333333334,0.23333333333333334,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,45,0.575,0.8692708333333333,0.12682291666666667,0.26666666666666666,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,46,0.5875,0.8729166666666667,0.13958333333333334,0.26666666666666666,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,47,0.6,0.8614583333333333,0.12630208333333334,0.3333333333333333,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,48,0.6125,0.8705729166666667,0.1484375,0.4,0.1,QK-MMD PauliXZ
qk_mmd_pauli_xz,49,0.625,0.8557291666666667,0.13177083333333334,0.26666666666666666,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,50,0.6375,0.865625,0.15052083333333333,0.3333333333333333,0.03333333333333333,QK-MMD PauliXZ
qk_mmd_pauli_xz,51,0.65,0.8682291666666667,0.16171875,0.43333333333333335,0.06666666666666667,QK-MMD PauliXZ
qk_mmd_pauli_xz,52,0.6625,0.8752604166666667,0.1703125,0.2,0.0,QK-MMD PauliXZ
qk_mmd_pauli_xz,53,0.675,0.8684895833333334,0.15651041666666668,0.4666666666666667,0.06666666666666667,QK-MMD PauliXZ
