dataset,model,condition,seed,n_per_block,inc_is_m1,ba_incumbent,ba_challenger,gap_rand,gap_m2_minus_m1
unsw_recon,svc_rbf,independent,2055,2000,True,88.6,89.1,0.5,0.5
unsw_recon,svc_rbf,own_transformer,2055,2000,True,88.525,88.875,0.35,0.35
unsw_recon,svc_rbf,independent,2056,2000,False,88.8,89.15,0.35,-0.35
unsw_recon,svc_rbf,own_transformer,2056,2000,False,89.175,89.2,0.025,-0.025
unsw_recon,svc_rbf,independent,2057,2000,False,89.125,88.85,-0.275,0.275
unsw_recon,svc_rbf,own_transformer,2057,2000,False,89.3,88.875,-0.425,0.425
unsw_recon,svc_rbf,independent,2058,2000,False,89.0,88.7,-0.3,0.3
unsw_recon,svc_rbf,own_transformer,2058,2000,False,88.925,88.95,0.025,-0.025
unsw_recon,svc_rbf,independent,2059,2000,True,89.15,89.25,0.1,0.1
unsw_recon,svc_rbf,own_transformer,2059,2000,True,89.375,89.45,0.075,0.075
unsw_recon,svc_rbf,independent,2060,2000,False,88.975,88.725,-0.25,0.25
unsw_recon,svc_rbf,own_transformer,2060,2000,False,89.5,88.725,-0.775,0.775
unsw_recon,svc_rbf,independent,2061,2000,False,87.9,88.15,0.25,-0.25
unsw_recon,svc_rbf,own_transformer,2061,2000,False,88.0,88.025,0.025,-0.025
unsw_recon,svc_rbf,independent,2062,2000,True,89.325,89.75,0.425,0.425
unsw_recon,svc_rbf,own_transformer,2062,2000,True,89.425,89.85,0.425,0.425
unsw_recon,svc_rbf,independent,2063,2000,True,88.9,88.85,-0.05,-0.05
unsw_recon,svc_rbf,own_transformer,2063,2000,True,89.15,89.175,0.025,0.025
unsw_recon,svc_rbf,independent,2064,2000,True,89.475,89.525,0.05,0.05
unsw_recon,svc_rbf,own_transformer,2064,2000,True,89.525,89.575,0.05,0.05
unsw_recon,svc_rbf,independent,2065,2000,False,88.475,88.075,-0.4,0.4
